Dish Name,Region,Meal Type,Calories (kcal),Protein (g),Carbs (g),Fat (g),Food Type
Idli And Chapati,Kerala,Breakfast,449,32.1,64.0,12.1,Both
Makki Khichdi Special,Punjab,Breakfast,334,19.8,39.8,11.2,Both
Eggy Poha And Chutney,Uttar Pradesh,Breakfast,448,17.8,55.4,16.7,Both
Ragi Dosa And Papad,Himachal Pradesh,Breakfast,290,18.1,34.4,7.2,Both
Pongal And Steamed Rice,Mizoram,Breakfast,483,17.7,73.8,18.3,Both
Punjab Style Dhokla Special,Punjab,Breakfast,534,32.5,77.1,12.3,Both
Kela Khichdi,Uttar Pradesh,Breakfast,428,17.5,61.5,11.9,Both
Dhokla And Chutney,Punjab,Breakfast,389,13.5,59.2,14.7,Both
Egg Bhurji Paratha And Dal,Assam,Breakfast,462,28.5,58.9,16.5,Both
Chhattisgarh Style Upma Lite,Chhattisgarh,Breakfast,306,15.9,35.6,7.3,Both
Thepla And Pickle,Himachal Pradesh,Breakfast,327,24.9,46.3,10.4,Both
Keerai Missal Special,Rajasthan,Breakfast,404,31.5,58.9,11.8,Both
Kaju Vegetable Uttapam Special,Goa,Breakfast,292,34.4,33.3,8.3,Both
Besan Chilla Special With Chutney,Mizoram,Breakfast,335,18.0,41.1,7.7,Both
Bihar Style Khichdi Lite,Bihar,Breakfast,377,26.5,56.2,12.8,Both
Kharan Special With Rasam,Chhattisgarh,Breakfast,374,32.6,54.5,13.9,Both
Besan Chilla And Curd,Jammu and Kashmir,Breakfast,312,23.1,44.7,9.7,Both
Bajre Kuzhi Paniyaram Special,Haryana,Breakfast,511,19.7,63.8,18.9,Both
Fish Fry With Bread Delight With Dal,Uttarakhand,Breakfast,433,21.8,50.7,11.7,Both
Chicken Kheema Sandwich And Salad,Nagaland,Breakfast,422,12.0,64.7,11.5,Both
Chole Idli,Delhi,Breakfast,379,28.7,57.1,13.2,Both
Fish Fry With Bread And Raita,Jharkhand,Breakfast,447,22.0,65.6,14.0,Both
Dalpithi Fish Fry With Bread,Madhya Pradesh,Breakfast,366,16.4,50.8,12.2,Both
Paratha And Raita,Haryana,Breakfast,451,14.7,69.0,12.5,Both
Dalma Missal,Odisha,Breakfast,422,8.3,50.7,12.0,Both
Meghalaya Style Vegetable Uttapam Homestyle,Meghalaya,Breakfast,417,28.7,59.2,12.0,Both
Eromba Eggy Poha Special,Manipur,Breakfast,373,30.7,52.7,13.2,Both
Anda Uttapam Classic With Poriyal,Rajasthan,Breakfast,531,11.7,83.7,13.8,Both
Puttu And Roti,Gujarat,Breakfast,307,34.5,44.9,7.2,Both
Kharan And Chapati,Goa,Breakfast,447,21.4,55.8,16.8,Both
Khlem Thepla,Meghalaya,Breakfast,446,26.2,60.2,12.9,Both
Makki Anda Uttapam,Punjab,Breakfast,281,9.5,36.6,6.6,Both
Pongal And Steamed Rice,Nagaland,Breakfast,413,25.3,65.9,11.0,Both
Puttu Traditional With Sambar,Odisha,Breakfast,490,10.9,78.7,13.8,Both
Gahat Paratha,Uttarakhand,Breakfast,429,12.1,69.3,13.2,Both
Paratha And Pickle,Madhya Pradesh,Breakfast,305,14.7,35.6,9.7,Both
Fara Sattu Paratha,Chhattisgarh,Breakfast,489,18.1,57.5,12.7,Both
Bhatt Besan Chilla,Uttarakhand,Breakfast,414,34.7,65.5,14.9,Both
Chakhwi Vegetable Uttapam Special,Tripura,Breakfast,384,13.0,52.6,12.3,Both
Mosdeng Dosa,Tripura,Breakfast,329,8.0,37.7,12.7,Both
Tungrymbai Sattu Paratha Special,Meghalaya,Breakfast,302,9.0,36.3,9.7,Both
Bhaji Paratha,Goa,Breakfast,488,17.8,69.5,13.6,Both
Telangana Style Sandwich (Veg) Classic,Telangana,Breakfast,499,10.6,59.0,13.5,Both
Sattu Paratha Special With Salad,Uttar Pradesh,Breakfast,527,20.9,82.9,18.0,Both
Andhra Pradesh Style Puttu Special,Andhra Pradesh,Breakfast,358,32.2,57.8,8.6,Both
Vegetable Uttapam And Pickle,Jammu and Kashmir,Breakfast,515,11.0,83.6,13.5,Both
