Dish Name,Region,Meal Type,Calories (kcal),Protein (g),Carbs (g),Fat (g),Food Type
Uttarakhand Style Fish Fry With Bread Special,Uttarakhand,Breakfast,330,29.4,37.3,7.8,Non-Veg
Keerai Keema Paratha,Rajasthan,Breakfast,583,31.6,66.3,14.6,Non-Veg
Xaak Keema Paratha Special,Assam,Breakfast,390,39.7,61.4,11.8,Non-Veg
Lauki Egg Bhurji Paratha,Uttar Pradesh,Breakfast,547,23.4,65.8,17.4,Non-Veg
Egg Bhurji Paratha Classic With Chutney,Kerala,Breakfast,532,29.6,77.3,14.0,Non-Veg
Andhra Pradesh Style Keema Paratha Lite,Andhra Pradesh,Breakfast,525,44.0,76.0,13.2,Non-Veg
Eggy Poha Lite With Papad,Madhya Pradesh,Breakfast,411,43.1,59.7,15.8,Non-Veg
Mooli Egg Dosa,Punjab,Breakfast,595,43.9,94.0,15.3,Non-Veg
Odisha Style Anda Uttapam Traditional,Odisha,Breakfast,599,21.9,76.5,18.8,Non-Veg
Anda Uttapam Traditional With Steamed Rice,Telangana,Breakfast,425,39.7,66.0,13.3,Non-Veg
Kela Chicken Kheema Sandwich,Uttar Pradesh,Breakfast,550,38.1,74.6,19.0,Non-Veg
Anda Uttapam Delight With Salad,Assam,Breakfast,310,34.3,38.9,8.2,Non-Veg
Fish Fry With Bread And Chapati,Meghalaya,Breakfast,359,24.5,48.4,12.9,Non-Veg
Chicken Kheema Sandwich And Curd,Delhi,Breakfast,389,31.0,46.9,10.8,Non-Veg
Chicken Kheema Sandwich And Papad,Manipur,Breakfast,357,25.4,52.8,12.8,Non-Veg
Soppu Chicken Kheema Sandwich Special,Telangana,Breakfast,376,20.7,55.0,14.4,Non-Veg
Bimmas Fish Fry With Bread,Telangana,Breakfast,327,33.7,39.6,12.1,Non-Veg
Makki Fish Fry With Bread Special,Punjab,Breakfast,538,33.0,74.1,17.1,Non-Veg
Eggy Poha Classic With Steamed Rice,West Bengal,Breakfast,482,24.6,69.6,13.9,Non-Veg
Kerala Style Fish Fry With Bread Traditional,Kerala,Breakfast,454,25.9,59.9,10.7,Non-Veg
Bore Fish Fry With Bread Special,Chhattisgarh,Breakfast,334,28.7,52.1,12.7,Non-Veg
Chaat Eggy Poha Special,Delhi,Breakfast,595,24.2,94.5,22.6,Non-Veg
