Dish Name,Region,Meal Type,Calories (kcal),Protein (g),Carbs (g),Fat (g),Food Type
Sikkim Style Poha Delight,Sikkim,Breakfast,285,16.3,41.7,10.6,Veg
Vegetable Uttapam And Sambar,Karnataka,Breakfast,305,9.3,43.5,9.6,Veg
Besan Chilla And Papad,Tripura,Breakfast,321,17.3,36.2,11.4,Veg
Bora Kharan,Tripura,Breakfast,445,10.7,52.1,10.6,Veg
Parathas Dhokla Special,Delhi,Breakfast,436,12.4,51.8,16.4,Veg
Kosambari Besan Chilla,Karnataka,Breakfast,299,15.9,34.3,7.8,Veg
Upma Traditional With Poriyal,Haryana,Breakfast,366,14.9,47.9,10.4,Veg
Gujarat Style Paratha Delight,Gujarat,Breakfast,386,16.2,46.6,11.0,Veg
Besan Chilla Special With Roti,Himachal Pradesh,Breakfast,308,17.5,47.0,8.9,Veg
Avarekai Appam Special,Karnataka,Breakfast,377,11.5,59.7,11.3,Veg
Pongal Traditional With Dal,Punjab,Breakfast,441,14.2,69.4,12.7,Veg
Keerai Pongal Special,Rajasthan,Breakfast,278,8.1,33.5,9.3,Veg
Upma And Rasam,Jharkhand,Breakfast,385,9.5,54.0,14.6,Veg
Singju Poha Special,Manipur,Breakfast,337,7.6,45.2,10.0,Veg
Zu Paratha Special,Nagaland,Breakfast,410,10.2,59.2,13.3,Veg
Dhokla Classic With Roti,Telangana,Breakfast,250,14.4,34.2,6.0,Veg
Khichdi Classic With Raita,West Bengal,Breakfast,270,7.2,36.9,6.3,Veg
Besan Chilla Homestyle With Steamed Rice,Mizoram,Breakfast,390,8.3,54.2,12.6,Veg
Besan Chilla Lite With Poriyal,Gujarat,Breakfast,416,11.2,65.5,12.4,Veg
Rajasthan Style Puttu Classic,Rajasthan,Breakfast,391,9.2,48.3,9.2,Veg
Dosa Traditional With Sambar,Sikkim,Breakfast,268,13.2,33.9,8.1,Veg
Nadru Pongal Special,Jammu and Kashmir,Breakfast,450,12.6,59.8,10.7,Veg
Kang Kharan,Manipur,Breakfast,436,6.8,63.3,14.4,Veg
Chakko Missal,Kerala,Breakfast,298,13.5,35.6,7.5,Veg
